CellID	CD45	CD20	CD19	CD8a	CD56	CD123	CD38	Vimentin	CD14	CD68	CD45_RA	CD31	CD66b	CD3	CD25	CD45_RO	HLA_DR	CD8_CK18	CD4	DNA1	DNA2	CD16	x	y	column_centroid	row_centroid	Area	MajorAxisLength	MinorAxisLength	Eccentricity	Solidity	Extent	Orientation
27	2.044776119	0.02238806	0.014925373	0.037313433	0.02238806	0.067164179	0.014925373	0.104477612	0.134328358	0.156716418	0.149253731	0.208955224	0.134328358	0.044776119	0.074626866	3.014925373	0.171641791	0.014925373	0.014925373	7.514925373	12.08208955	0.723880597	693.6389706390701	416.0521274985587	139.738806	31.6119403	134	13.99830493	12.20020344	0.490309076	0.971014493	0.736263736	-0.303691709
28	2.438016529	0.033057851	0.024793388	0.033057851	0.049586777	0.024793388	0.033057851	0.165289256	0.214876033	0.115702479	0.132231405	0.165289256	0.107438017	0.066115702	0.049586777	5.553719008	0.148760331	0.049586777	0.008264463	9.388429752	16.01652893	0.644628099	702.0051256858811	408.94959935040384	158.3966942	32.76033058	121	13.12143192	11.78853736	0.439140268	0.975806452	0.775641026	-0.001974843
29	2.669724771	0.0	0.027522936	0.027522936	0.009174312	0.027522936	0.055045872	0.532110092	0.100917431	0.23853211	0.146788991	0.091743119	0.036697248	0.064220183	0.036697248	5.100917431	0.091743119	0.027522936	0.027522936	8.229357798	13.53211009	0.798165138	707.2170642081927	404.32427988075983	170.2568807	33.2293578	109	12.62763279	11.37692391	0.433913355	0.923728814	0.756944444	-0.310015241
30	3.805555556	0.055555556	0.069444444	0.055555556	0.0	0.0	0.055555556	3.916666667	0.152777778	0.083333333	11.41666667	0.166666667	0.291666667	2.069444444	0.013888889	0.125	0.0	0.0	0.083333333	12.22222222	22.69444444	0.763888889	756.7519523197019	356.3792969045315	287.6805556	32.79166667	72	9.88729937	9.280968317	0.344801109	0.947368421	0.72	0.979300562
31	5.316455696	0.075949367	0.0	0.0	0.050632911	0.101265823	0.088607595	2.215189873	0.113924051	0.101265823	0.202531646	0.620253165	0.240506329	0.063291139	0.101265823	15.39240506	0.430379747	0.063291139	0.050632911	10.26582278	17.84810127	0.962025316	656.5344956258708	455.89975447540206	47.13924051	36.7721519	79	10.40122154	9.892604365	0.308882375	0.975308642	0.718181818	0.212491514
32	4.129411765	0.082352941	0.011764706	0.011764706	0.023529412	0.023529412	0.035294118	1.505882353	0.152941176	0.058823529	10.75294118	0.211764706	0.305882353	0.258823529	0.023529412	0.647058824	0.047058824	0.011764706	0.035294118	12.87058824	20.76470588	0.658823529	721.413117035959	392.5106067694031	201.6352941	35.47058824	85	10.90783624	9.957884039	0.408158607	0.95505618	0.772727273	-1.50975516
33	2.210526316	0.035087719	0.0	0.01754386	0.026315789	0.035087719	0.0	0.096491228	0.228070175	0.087719298	0.105263158	0.219298246	0.035087719	0.061403509	0.01754386	3.447368421	0.210526316	0.00877193	0.043859649	6.903508772	11.29824561	0.587719298	728.6206598198457	386.33861079412566	217.7719298	36.39473684	114	13.00670321	11.18859023	0.509927754	0.957983193	0.730769231	1.417616699
34	2.85483871	4.35483871	0.112903226	0.016129032	0.064516129	0.064516129	0.080645161	4.516129032	0.338709677	0.290322581	11.64516129	0.209677419	0.467741935	0.209677419	0.064516129	0.129032258	0.096774194	0.016129032	0.032258065	9.903225806	18.56451613	0.661290323	783.0788230801356	334.5128713939596	345.8225806	37.0	62	9.366189941	8.425951009	0.436686996	0.984126984	0.765432099	0.553908174
35	4.385714286	2.328571429	0.1	0.085714286	0.014285714	0.1	0.042857143	0.871428571	0.185714286	0.157142857	11.38571429	0.3	0.271428571	0.057142857	0.0	0.328571429	0.085714286	0.014285714	0.085714286	18.9	33.51428571	0.785714286	681.4536356772073	433.73852097299283	103.9	38.95714286	70	11.38942641	8.574389176	0.658206238	0.886075949	0.583333333	-0.556718481
36	6.898305085	0.169491525	0.016949153	0.033898305	0.033898305	0.033898305	0.06779661	3.779661017	0.220338983	0.118644068	5.86440678	0.050847458	0.372881356	2.305084746	0.084745763	2.101694915	0.033898305	0.016949153	0.033898305	16.54237288	29.52542373	0.847457627	678.2792295594137	438.47891704316237	94.40677966	41.03389831	59	9.325550121	8.258251801	0.464541849	0.936507937	0.819444444	0.104605853
